day,bucket,flow_type,net_qty,price,usd_value
2020-10-03,Top 1-100,INFLOW,242601.42530275884,56.16320273,13625273.031865796
2020-10-03,Top 101-200,INFLOW,4264.333794358333,56.16320273,239498.6434009372
2020-10-03,Top 201-300,INFLOW,1104.7610221836917,56.16320273,62046.91725710471
2020-10-03,Top 301-500,INFLOW,426.1423200445598,56.16320273,23933.51751249516
2020-10-04,Top 1-100,INFLOW,64814.7535266722,56.16320273,3640204.142213473
2020-10-04,Top 101-200,INFLOW,1965.9434616174933,56.16320273,110413.68119054126
2020-10-04,Top 201-300,INFLOW,418.1319863117054,56.16320273,23483.6315151219
2020-10-04,Top 301-500,INFLOW,368.2412611237612,56.16320273,20681.608602044667
2020-10-04,Top 501-1000,INFLOW,34.66583007646229,56.16320273,1946.9440423880835
2020-10-05,Top 1-100,INFLOW,2608877.204716089,52.82558086,137815453.73154056
2020-10-05,Top 101-200,INFLOW,917.8970268522942,52.82558086,48488.44361313946
2020-10-05,Top 201-300,INFLOW,750.3955614413464,52.82558086,39640.08140790495
2020-10-05,Top 301-500,INFLOW,362.3637402699375,52.82558086,19142.075062361622
2020-10-05,Top 501-1000,INFLOW,112.10855049134132,52.82558086,5922.199299077744
2020-10-06,Top 1-100,INFLOW,262973.596842938,52.72514145,13865320.09115918
2020-10-06,Top 101-200,INFLOW,1220.0113574809116,52.72514145,64325.27139378758
2020-10-06,Top 201-300,INFLOW,947.2531223235072,52.72514145,49944.05486346107
2020-10-06,Top 301-500,INFLOW,355.5668701118768,52.72514145,18747.313521582484
2020-10-06,Top 501-1000,INFLOW,112.05081860776238,52.72514145,5907.895260682564
2020-10-07,Top 1-100,INFLOW,135847.5045994328,41.50793637,5638749.57693654
2020-10-07,Top 101-200,INFLOW,2165.8998147466727,41.50793637,89902.03169429969
2020-10-07,Top 201-300,OUTFLOW,-488.9218037884832,41.50793637,20294.13512155799
2020-10-07,Top 301-500,INFLOW,410.7505025844274,41.50793637,17049.405725219935
2020-10-07,Top 501-1000,INFLOW,151.12697713308827,41.50793637,6272.968950630673
2020-10-08,Top 1-100,INFLOW,115110.69540578696,40.22615793,4630461.012825312
2020-10-08,Top 101-200,INFLOW,2094.7072557879173,40.22615793,84262.02488844167
2020-10-08,Top 201-300,INFLOW,1069.101596369988,40.22615793,43005.84965879426
