day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2023-07-23,2.186257925,228624084.4,2,2.0,4.37251585,2.186257925,9.562675475497716e-07,Retail Orders
2023-07-24,2.186257925,228624084.4,1602,22803124.74277064,49853512.183645904,31119.545682675347,0.0136116655269917,Small Whale Orders
2023-07-25,2.186257925,228624084.4,1200,4146071.600732452,9064381.89471876,7553.651578932299,0.0033039614346651,Normal
2023-07-26,2.280030981,247940366.6,998,1642636.0312719562,3745261.0418069446,3752.766574956858,0.0015135762790135,Normal
2023-07-27,2.240588708,247627045.2,541,1399977.1869688914,3136773.0765801035,5798.101805138824,0.0023414654891415,Normal
2023-07-28,2.101936484,232832250.2,394,531874.9634647536,1117967.3906327323,2837.480686885108,0.0012186802663495,Normal
2023-07-29,2.221848622,248924610.7,552,523477.6021236405,1163087.988926275,2107.0434581997733,0.0008464584728181,Normal
2023-07-30,2.349079018,265653510.0,489,883621.0517155371,2075695.672448061,4244.776426274153,0.001597861976781,Normal
2023-07-31,2.285819272,260857130.2,297,533047.9540861282,1218451.2863502428,4102.529583670851,0.0015727113077282,Normal
2023-08-01,2.31930471,265981030.2,325,1558908.4398073386,3615583.686903912,11124.872882781268,0.0041825813195836,Normal
2023-08-02,2.42951343,281400496.9,332,2558976.3692275514,6217067.456090975,18726.106795454743,0.006654610422422,Small Whale Orders
2023-08-03,2.358061208,275164817.9,293,292592.6876769056,689951.4665553708,2354.78316230502,0.0008557718898354,Normal
2023-08-04,2.330925737,274298303.0,240,1068274.9535559316,2490069.583436,10375.289930983334,0.0037824841851038,Normal
2023-08-05,2.169352016,256753055.4,191,284568.63685106963,617329.5460432398,3232.091864100732,0.0012588328731143,Normal
2023-08-06,2.120689495,252021697.7,187,83668090.28824416,177434040.14099094,948845.1344438018,0.3764934301701603,Big Whale Orders
2023-08-07,2.041379732,244114455.1,173,397880.7601557307,812225.7195346617,4694.946355691686,0.0019232561847959,Normal
2023-08-08,2.038028603,247563518.0,224,769991.932523215,1569265.5825615576,7005.649922149811,0.0028298393797061,Normal
2023-08-09,1.935335436,238280086.7,150,796569.2163403728,1541628.6316102738,10277.52421073516,0.0043132115457364,Normal
2023-08-10,1.831576695,226483841.5,163,1267612.4777198262,2321729.4724828405,14243.739094986751,0.0062890751943496,Small Whale Orders
2023-08-11,1.678098094,208665800.3,150,176734714.80282015,296578188.05424607,1977187.9203616404,0.9475380812375704,Mega Whale Orders
2023-08-12,1.743257554,217125040.5,148,304450027.09931606,530734809.5563874,3586046.010516132,1.6516040721319434,Mega Whale Orders
2023-08-13,1.756451894,219078630.0,102,303793.0288907012,533597.8409790688,5231.351382147733,0.0023878875735838,Normal
2023-08-14,1.771794064,221543853.3,99,25319934.67845005,44861709.96414556,453148.58549641975,0.2045412584220046,Big Whale Orders
2023-08-15,1.772205078,222452653.2,118,49689421.51470598,88059845.13124439,746269.8739935965,0.3354735775269218,Big Whale Orders
2023-08-16,1.616907359,203989244.3,145,166319306.55909842,268922910.7191832,1854640.7635805733,0.9091855651237264,Mega Whale Orders
2023-08-17,1.524542986,192584015.9,110,264437.02750582615,403145.6155226963,3664.960141115421,0.0019030448212371,Normal
2023-08-18,1.359168188,172032453.2,109,359462.8396430691,488570.4564110048,4482.297765238576,0.0026054954642933,Normal
2023-08-19,1.546127404,195447992.0,68,1605089.6820286885,2481673.143262201,36495.19328326767,0.0186725854329921,Small Whale Orders
2023-08-20,1.478852012,187132422.5,53,41823.36261726171,61850.56395514306,1166.9917727385482,0.0006236181614859,Normal
2023-08-21,1.467004257,185692806.4,53,340565.7124740375,499611.349987651,9426.62924505002,0.0050764644187369,Small Whale Orders
2023-08-22,1.472841112,186870911.3,75,4386868.447424518,6461160.202302441,86148.80269736589,0.0461007024036307,Small Whale Orders
2023-08-23,1.434131376,181295413.1,77,1212991.7367993318,1739589.5085726555,22592.07153990462,0.0124614689106575,Small Whale Orders
2023-08-24,1.405292439,178075642.9,72,2244829.074071306,3154641.3246397767,43814.46284221912,0.0246044108720829,Small Whale Orders
2023-08-25,1.393256682,176514374.9,77,95767.41579244114,133428.59197069093,1732.8388567622198,0.0009816984354639,Normal
2023-08-26,1.26701522,160651496.4,58,278303.29601832974,352614.5118313892,6079.560548817056,0.0037843161657702,Normal
2023-08-27,1.29317672,164517464.8,65,52037.81417022808,67294.08984462506,1035.2936899173087,0.000629291055011,Normal
2023-08-28,1.31008468,166512460.1,64,844449.4575800605,1106300.297409947,17285.942147030422,0.0103811703560497,Small Whale Orders
2023-08-29,1.207573822,154359571.3,93,321661.6391987812,388430.1750380572,4176.668548796314,0.0027058047088501,Normal
2023-08-30,1.297439721,165804973.5,80,248804.3042091846,322808.58703676355,4035.107337959545,0.0024336467433888,Normal
2023-08-31,1.221279898,156595699.9,67,154269.4432801413,188406.16995368776,2812.032387368474,0.0017957277174048,Normal
2023-09-01,1.134001557,144863621.1,75,541862.2085348129,614472.5881579366,8192.967842105822,0.0056556420306863,Small Whale Orders
2023-09-02,1.124799743,144013214.2,75,74206.64856570306,83467.61923559413,1112.9015898079217,0.0007727774121216,Normal
2023-09-03,1.132524076,145799296.9,56,76349.98937603584,86468.2011707048,1544.075020905443,0.001059041472583,Normal
2023-09-04,1.130692934,145237263.6,66,197947.1411947556,223817.4338544104,3391.17324021834,0.002334919535222,Normal
2023-09-05,1.044430931,134194980.3,71,94553.96389121968,98755.08453664694,1390.9166836147456,0.0010364893534059,Normal
2023-09-06,1.071252271,137956534.1,100,10400520.564786868,11141581.274610138,111415.81274610138,0.0807615336764983,Big Whale Orders
2023-09-07,1.284418795,164573188.3,106,3517388.7203381755,4517800.181723351,42620.75643135236,0.0258977521621924,Small Whale Orders
2023-09-08,1.226326376,157663411.2,63,1162405.7055455311,1425488.7763233744,22626.80597338689,0.0143513360526522,Small Whale Orders
2023-09-09,1.134222438,145921248.6,73,62361.35980274454,70731.65355246412,968.9267609926592,0.0006640066270599,Normal
2023-09-10,1.160969096,149810746.7,64,262286.47530367784,304506.4921263372,4757.913939474019,0.0031759496860407,Normal
2023-09-11,1.08912722,140159552.0,66,369936.9890031589,402908.44440818095,6104.673400123954,0.0043555172037963,Normal
2023-09-12,1.008093225,130469187.0,90,470475.4382854405,474283.10186445824,5269.812242938425,0.004039123998633,Normal
2023-09-13,1.013003757,131440627.5,53,497755.5654487837,504228.2578672773,9513.74071447693,0.007238051807442,Small Whale Orders
2023-09-14,1.012649249,131640113.3,69,1311873.8124948072,1328468.0310056335,19253.159869646865,0.0146256026274985,Small Whale Orders
2023-09-15,1.073143437,140876924.2,103,456407.6226247344,489790.8448165064,4755.250920548606,0.0033754647523377,Normal
2023-09-16,1.326381619,172564650.4,161,583913.2422159874,774491.7915659805,4810.508022148947,0.0027876555314187,Normal
2023-09-17,1.508899219,196467275.3,107,179625.1700180848,271036.2787530304,2533.049334140472,0.0012892983476625,Normal
2023-09-18,1.271144189,165022274.4,106,334362.5414376493,425023.0015677396,4009.6509581862224,0.0024297634805754,Normal
2023-09-19,1.348927493,175518339.8,104,1284780.2847460755,1733075.44855835,16664.187005368753,0.0094942710968878,Small Whale Orders
2023-09-20,1.374160382,179120397.2,107,6539545.781234621,8986384.728847854,83984.90400792386,0.0468874038472285,Small Whale Orders
2023-09-21,1.554207476,202318878.1,95,1333090.0966439126,2071898.594385532,21809.45888826876,0.0107797448725911,Small Whale Orders
2023-09-22,1.518645586,198776529.1,112,556816.7140516393,845607.2450055463,7550.06468754952,0.0037982676937432,Normal
2023-09-23,1.607909026,209533164.9,76,536929.2087040413,863333.3209982658,11359.648960503497,0.0054214085707744,Small Whale Orders
2023-09-24,1.510070511,196752211.6,85,529661.6469969172,799826.4339377364,9409.722752208663,0.0047825245143057,Normal
2023-09-25,1.621061607,210796224.0,133,1302439.2833714786,2111334.317722097,15874.69411821126,0.0075308247069033,Small Whale Orders
2023-09-26,1.718061141,225392134.6,116,2728705.9631038434,4688083.680423692,40414.514486411135,0.0179307563496544,Small Whale Orders
2023-09-27,1.692001382,223225510.8,122,508502.0103484772,860386.1042594017,7052.345116880341,0.0031592917366863,Normal
2023-09-28,1.803675322,238023367.7,158,2978962.962796232,5373081.981147567,34006.84798194662,0.0142871888212287,Small Whale Orders
2023-09-29,1.797659138,236930209.3,108,727004.1984155976,1306905.7406461642,12100.979080057075,0.0051074023510167,Small Whale Orders
